user_id,ratio,numberRecommendationUserHas,numberGamesUserHasInTest
157095466,0,0,3
57103808,0,1,18
50426766,0,0,0
125141344,0,2,3
80239919,0,1,2
202921867,0,0,1
216505571,0,1,3
184554757,0,3,4
44482198,0,0,6
241424434,0,0,0
126191291,0,2,23
106147454,0,0,9
61676491,0,2,41
216857326,0,0,0
214388411,0,0,0
27262175,0,2,12
161139120,1,3,3
127272741,0,1,30
117531196,0,1,30
121168851,0,1,5
205424925,0,0,1
286222836,0,0,1
48456902,0,1,2
125017535,0,0,11
197918145,0,0,0
86540,0,0,15
49462664,0,1,44
166669789,0,2,23
11731710,0,1,25
11940338,0,2,24
55367062,0,3,40
263860732,0,0,3
213775315,0,1,4
21796349,0,0,1
2531540,0,1,5
38317154,0,1,25
123461705,1,1,1
42005897,0,0,28
92914917,0,1,54
81943620,0,0,65
59536273,0,0,8
71527252,0,0,27
200759485,0,0,0
56436989,0,1,8
33622085,0,2,29
122679931,0,2,10
138941587,0,0,72
71510748,0,1,30
33282871,0,0,29
2259650,0,2,33
76892907,0,0,129
109205612,0,4,17
250402599,0,0,0
103731895,0,4,16
48149238,0,2,13
27171538,0,3,4
47384202,0,1,49
190305835,0,0,6
207248568,0,0,10
99766416,1,2,2
20772968,0,1,118
239348249,0,0,0
30246419,0,1,142
159852613,0,1,2
41465526,0,0,0
164475918,0,0,4
115632831,0,0,22
118541865,0,3,31
60296891,0,1,21
44156169,0,1,4
184519153,0,0,1
114578751,1,1,1
268158408,0,0,1
127628725,0,4,21
85959768,0,1,4
49228258,0,0,52
288259150,0,0,3
145247573,0,0,1
31733654,1,5,5
103260848,0,1,11
39990790,0,0,0
130312302,0,1,13
110881546,0,0,11
166863117,0,1,34
127335438,0,0,23
122798021,0,3,12
30519870,0,3,14
151015947,0,3,13
10218563,0,0,13
195105284,0,2,4
72717958,0,2,4
177444568,0,2,4
60958088,1,1,1
298857855,0,0,0
115996656,0,1,22
152959594,0,2,18
101687527,0,0,17
189734107,0,2,21
126595775,0,3,9
82287546,0,2,17
82046939,0,1,17
194970068,0,2,6
36856786,0,0,0
87694960,0,2,46
200190961,0,0,0
144679568,0,1,4
100916842,0,0,0
127796104,0,0,0
64787956,0,1,121
91807066,0,2,5
24721232,0,3,98
181010210,0,2,11
227083521,0,0,7
100719181,0,3,10
154940949,0,2,6
252352661,0,0,6
277635586,0,1,2
102927775,0,2,4
86469479,0,2,104
154230723,0,2,80
11300897,0,0,2
29753085,0,0,19
280664166,0,0,0
53779471,0,1,3
36404933,0,1,75
84455820,0,1,16
16154372,0,3,20
242471645,0,0,0
174103314,0,0,0
172518437,0,0,22
34901647,0,1,21
203440072,0,1,2
21061921,0,0,63
65145468,0,0,12
186344581,0,1,2
53097340,0,0,22
77446275,0,3,5
58905429,0,0,82
130460859,0,0,9
122026623,0,0,78
36546868,0,4,82
116876958,0,2,91
164805863,1,1,1
172854515,0,1,2
248216340,0,1,2
141721383,0,2,7
162453723,0,1,6
62705916,0,1,15
130324181,0,1,4
99711581,0,1,2
87201181,0,1,7
20366600,0,1,12
92503355,0,2,9
17995238,0,2,34
69954842,0,3,51
66950079,0,1,14
44314169,0,3,46
26465134,0,1,22
9823354,0,0,31
92484390,0,1,2
98928829,0,0,1
98649241,0,2,8
172381385,1,2,2
39622853,0,2,37
161013852,0,0,10
295708676,0,0,1
212502033,0,0,2
264929200,0,0,0
975449,0,2,75
14544587,0,0,18
185390486,0,2,4
87071236,0,0,9
35039277,0,1,19
33706322,0,1,19
248444377,0,1,25
205479294,0,0,2
167017825,0,0,3
299905842,0,0,1
198722652,0,1,3
91690667,0,1,17
53258793,0,2,3
202427012,0,3,8
128995325,0,0,0
17567828,0,3,33
5689496,0,1,3
83497449,0,1,6
14417857,0,2,3
35935953,1,1,1
55426012,0,3,42
94269421,0,0,13
35729292,0,1,4
34177747,0,1,28
27169419,0,2,10
202376797,0,0,1
139695479,0,0,3
227777777,0,0,1
142388676,0,1,2
35192186,0,0,3
249735744,0,1,2
147602462,0,1,17
118852041,0,1,30
54507379,0,1,7
169054646,0,2,3
26333936,0,1,2
18697313,0,0,0
44545959,0,1,23
106259770,0,0,8
54310644,0,0,25
99374297,0,1,9
31887973,0,0,1
253773352,0,0,1
17017968,0,2,4
17530772,0,1,52
68685708,0,0,1
66229356,0,0,0
218164433,0,0,0
110226344,1,1,1
254935843,0,2,3
23492094,0,2,9
62858973,0,0,2
231042734,0,1,3
146809006,0,0,1
7418489,0,0,1
37723786,0,1,16
69856757,0,0,9
86733992,0,4,9
157080495,0,1,6
10162301,0,3,10
10385370,0,2,4
86738567,0,0,4
183983684,1,1,1
83928705,0,0,1
122658341,0,4,6
123325040,0,2,4
207036748,0,0,5
185075395,0,0,15
48666962,0,0,5
48028873,0,1,27
65315657,0,1,4
159428605,0,3,12
80189887,0,1,22
95531306,0,1,5
285882402,0,0,1
107567915,0,0,4
63441290,0,0,20
76585538,0,0,0
44472980,0,0,53
47457723,0,2,108
102454403,0,0,3
11970504,0,1,18
140854798,0,1,2
59205262,0,0,2
197288410,1,1,1
244266460,0,0,0
173859218,0,1,2
175447188,0,0,8
49845280,0,0,2
282052972,0,0,2
124437057,0,1,27
24632218,0,0,35
110906645,0,1,9
142775542,0,0,8
81439192,0,3,27
5217749,1,3,3
95059220,1,2,2
87040683,0,3,10
159524722,0,0,1
53898495,0,1,30
213523850,0,0,1
64023574,0,1,23
32467994,0,0,20
213610494,0,2,4
44370809,0,0,6
74157312,1,1,1
176261926,0,0,1
94299484,0,2,10
