user_id,ratio,numberRecommendationUserHas,numberGamesUserHasInTest
58431944,0,0,4
58435428,0,0,12
58439284,0,0,2
58481977,0,0,6
58530556,0,0,2
58551955,0,0,2
58618147,0,0,1
58761868,0,0,9
58768356,0,0,3
58830050,0,0,0
58893462,0,0,0
58905429,0,0,82
58907890,0,0,6
58930204,0,0,0
58931437,0,0,24
58953935,0,0,5
58977564,0,0,1
59005471,0,0,10
59050554,0,0,1
59087317,0,0,0
59099129,0,0,1
59115473,0,0,3
59157389,0,0,3
59205262,0,0,2
59234901,0,0,3
59332369,0,0,9
59382844,0,0,10
59383825,0,0,1
59467141,0,0,1
59529444,0,1,4
59536273,0,0,8
59575100,0,0,1
59662830,0,0,38
59713285,0,0,2
59756932,0,0,2
59773143,0,0,2
59790700,0,0,9
59825286,0,0,72
59837634,0,0,1
59866729,0,0,1
59925638,0,0,23
59945701,0,0,5
60210313,0,0,9
60217594,0,0,13
60260529,0,0,0
60296891,0,0,21
60343142,0,0,4
60424237,0,0,2
60439399,0,0,1
60549077,0,0,7
60557056,0,0,3
60608576,0,0,39
60611062,0,0,29
60706503,0,0,7
60744461,0,0,1
60820884,0,0,1
60859324,0,0,12
60859695,0,0,48
60958088,0,0,1
61031710,0,0,1
61046224,0,0,0
61070572,0,1,11
61086207,0,0,3
61189155,0,0,23
61428062,0,0,2
61439397,0,0,0
61506388,0,0,15
61632730,0,0,20
61676491,0,0,41
61772065,0,0,10
61779218,0,0,6
61806811,0,0,1
61823081,0,0,0
61834736,0,0,2
62097332,0,0,5
62352668,0,0,3
62478196,0,0,2
62481936,0,0,0
62486194,0,0,0
62539628,0,0,1
62545742,0,0,5
62601134,0,0,1
62633395,0,0,11
62654923,0,0,0
62658713,0,0,0
62705916,0,0,15
62784536,0,0,0
62858973,0,0,2
62878249,0,0,32
62923086,0,0,2
62990992,0,1,211
63098418,0,0,5
63157803,0,0,18
63276972,0,0,2
63441045,0,0,1
63441290,0,0,20
63555332,0,0,1
63605342,0,0,1
63615483,0,0,18
63671946,0,0,1
63702300,0,0,1
63763909,0,0,0
63810706,0,0,0
63895034,0,0,2
63990035,0,0,3
63993064,0,0,0
64019582,0,0,2
64023574,0,0,23
64027842,0,0,2
64060101,0,0,0
64079170,0,0,1
64137709,0,0,0
64261708,0,0,4
64307328,0,0,1
64319625,0,0,13
64350600,0,0,7
64368515,0,0,2
64369759,0,0,10
64392327,0,0,6
64514291,0,0,6
64611580,0,0,3
64657716,0,0,0
64754418,0,0,2
64787956,0,0,121
64973908,0,0,29
65064340,0,0,8
65117175,0,0,31
65145468,0,0,12
65147980,0,0,4
65152385,0,0,1
65155942,0,0,8
65173746,0,0,0
65229865,0,0,13
65244880,0,0,0
65315657,0,0,4
65342306,0,0,11
65350586,0,0,6
65398650,0,0,56
65420540,0,0,7
65447941,0,0,1
65610147,0,0,8
65638515,0,0,3
65716118,0,0,6
65729155,0,0,1
65754991,0,0,30
65872385,0,0,0
65909415,0,0,10
65935023,0,0,7
65958466,0,0,27
66052983,0,1,18
66078954,0,0,8
66211595,0,0,2
66229356,0,0,0
66255019,0,0,24
66357156,0,0,3
66403743,0,0,1
66464409,0,0,1
66508737,0,0,1
66530362,0,0,2
66596291,0,0,17
66615366,0,0,11
66650717,0,0,25
66748534,0,0,1
66755246,0,0,6
